onset	duration	sample	value	stage_name
99.907	27.882	199814	stage_start	pinch_practice
132.173	92.605	264346	stage_start	pinch_release_static_hand_in_lap_with_taps
139.425	0	278850	middle_press	n/a
139.72	0	279440	middle_release	n/a
140.29	0	280580	middle_press	n/a
140.585	0	281170	middle_release	n/a
140.85	0	281700	middle_press	n/a
141.035	0	282070	middle_release	n/a
141.59	0	283180	index_press	n/a
141.735	0	283470	index_release	n/a
141.96	0	283920	index_press	n/a
142.085	0	284170	index_release	n/a
143.05	0	286100	index_press	n/a
143.07	0	286140	index_release	n/a
144.145	0	288290	index_press	n/a
144.405	0	288810	index_release	n/a
145.47	0	290940	middle_press	n/a
145.565	0	291130	middle_release	n/a
145.72	0	291440	middle_press	n/a
145.855	0	291710	middle_release	n/a
146.43	0	292860	middle_press	n/a
146.565	0	293130	middle_release	n/a
146.705	0	293410	middle_press	n/a
146.845	0	293690	middle_release	n/a
147.93	0	295860	middle_press	n/a
148.32	0	296640	middle_release	n/a
149.635	0	299270	index_press	n/a
149.93	0	299860	index_release	n/a
150.96	0	301920	middle_press	n/a
151.255	0	302510	middle_release	n/a
151.82	0	303640	middle_press	n/a
152.07	0	304140	middle_release	n/a
152.26	0	304520	middle_press	n/a
152.43	0	304860	middle_release	n/a
152.855	0	305710	middle_press	n/a
153.95	0	307900	middle_release	n/a
154.95	0	309900	index_press	n/a
155.245	0	310490	index_release	n/a
156.17	0	312340	index_press	n/a
156.565	0	313130	index_release	n/a
157.165	0	314330	middle_press	n/a
157.39	0	314780	middle_release	n/a
158.21	0	316420	middle_press	n/a
158.34	0	316680	middle_release	n/a
158.48	0	316960	middle_press	n/a
158.595	0	317190	middle_release	n/a
159.31	0	318620	middle_press	n/a
159.495	0	318990	middle_release	n/a
160.535	0	321070	index_press	n/a
161.925	0	323850	index_release	n/a
162.43	0	324860	middle_press	n/a
162.565	0	325130	middle_release	n/a
162.715	0	325430	middle_press	n/a
162.84	0	325680	middle_release	n/a
163.48	0	326960	index_press	n/a
163.775	0	327550	index_release	n/a
163.97	0	327940	index_press	n/a
164.165	0	328330	index_release	n/a
164.935	0	329870	middle_press	n/a
165.23	0	330460	middle_release	n/a
165.725	0	331450	index_press	n/a
166.02	0	332040	index_release	n/a
167.245	0	334490	middle_press	n/a
167.565	0	335130	middle_release	n/a
168.505	0	337010	index_press	n/a
168.8	0	337600	index_release	n/a
169.855	0	339710	index_press	n/a
169.98	0	339960	index_release	n/a
170.085	0	340170	index_press	n/a
170.31	0	340620	index_release	n/a
170.84	0	341680	middle_press	n/a
172.045	0	344090	middle_release	n/a
173.175	0	346350	middle_press	n/a
174.52	0	349040	middle_release	n/a
174.845	0	349690	index_press	n/a
