onset	duration	sample	value	stage_name
179.6395	31.1145	359279	stage_start	pinch_practice
232.374	166.633	464748	stage_start	pinch_release_static_hand_in_lap_with_taps
313.535	0	627070	middle_press	n/a
313.685	0	627370	middle_release	n/a
314.685	0	629370	middle_press	n/a
314.98	0	629960	middle_release	n/a
315.56	0	631120	middle_press	n/a
316.655	0	633310	middle_release	n/a
317.6	0	635200	middle_press	n/a
318.98	0	637960	middle_release	n/a
319.82	0	639640	middle_press	n/a
319.88	0	639760	middle_release	n/a
320.675	0	641350	index_press	n/a
320.97	0	641940	index_release	n/a
321.135	0	642270	index_press	n/a
321.395	0	642790	index_release	n/a
322.735	0	645470	index_press	n/a
323.015	0	646030	index_release	n/a
323.035	0	646070	index_press	n/a
323.055	0	646110	index_release	n/a
323.87	0	647740	index_press	n/a
324.53	0	649060	index_release	n/a
325.36	0	650720	index_press	n/a
325.655	0	651310	index_release	n/a
326.775	0	653550	middle_press	n/a
326.795	0	653590	middle_release	n/a
326.895	0	653790	middle_press	n/a
327.19	0	654380	middle_release	n/a
327.64	0	655280	index_press	n/a
328.895	0	657790	index_release	n/a
329.365	0	658730	middle_press	n/a
329.66	0	659320	middle_release	n/a
330.385	0	660770	middle_press	n/a
330.675	0	661350	middle_release	n/a
330.695	0	661390	middle_press	n/a
330.91	0	661820	middle_release	n/a
331.75	0	663500	index_press	n/a
333.165	0	666330	index_release	n/a
333.555	0	667110	middle_press	n/a
333.85	0	667700	middle_release	n/a
334.035	0	668070	middle_press	n/a
334.13	0	668260	middle_release	n/a
335.185	0	670370	index_press	n/a
335.48	0	670960	index_release	n/a
336.765	0	673530	middle_press	n/a
336.785	0	673570	middle_release	n/a
338.46	0	676920	index_press	n/a
338.58	0	677160	index_release	n/a
338.825	0	677650	index_press	n/a
338.845	0	677690	index_release	n/a
339.505	0	679010	index_press	n/a
339.715	0	679430	index_release	n/a
341.32	0	682640	middle_press	n/a
341.38	0	682760	middle_release	n/a
341.97	0	683940	middle_press	n/a
342.075	0	684150	middle_release	n/a
342.265	0	684530	middle_press	n/a
342.37	0	684740	middle_release	n/a
343.19	0	686380	middle_press	n/a
343.485	0	686970	middle_release	n/a
343.505	0	687010	middle_press	n/a
343.525	0	687050	middle_release	n/a
344.37	0	688740	middle_press	n/a
345.77	0	691540	middle_release	n/a
346.005	0	692010	index_press	n/a
